                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3586,                 5.2318,                 4.1617,                 0.0015,                0.09162,                0.00104,                0.00033,                 3.0086,                 6.9404,                 4.6073,              0.0033259,              0.0033259,              0.0033259
                      2,                 2.6802,                 4.7921,                 3.4224,                0.19652,                0.01247,                0.00656,                0.00286,                 2.1956,                 3.9915,                 3.0679,              0.0066263,              0.0066263,              0.0066263
                      3,                 1.9013,                 4.2139,                 2.5318,                0.21084,                 0.0629,                0.02721,                0.01593,                 1.7978,                  3.731,                 2.4614,              0.0098937,              0.0098937,              0.0098937
                      4,                 1.6432,                 3.8625,                 2.1612,                0.18097,                0.09513,                0.03663,                0.02322,                 1.6398,                 3.5183,                 2.2022,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5419,                  3.635,                 2.0117,                0.16879,                0.13208,                0.05071,                0.03343,                 1.5661,                  3.449,                 2.0849,               0.009802,               0.009802,               0.009802
                      6,                 1.4937,                 3.4984,                 1.9368,                0.18515,                0.13127,                0.05826,                0.03748,                 1.5477,                 3.3216,                 2.0126,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4594,                 3.3826,                 1.8904,                0.16564,                0.12425,                0.06527,                0.04334,                 1.4909,                 3.2137,                 1.9647,               0.009703,               0.009703,               0.009703
                      8,                 1.4316,                 3.2822,                 1.8531,                0.13311,                0.14701,                0.07278,                0.04833,                 1.4706,                 3.1342,                 1.9236,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4051,                  3.225,                 1.8138,                 0.1556,                0.15834,                0.08595,                0.05568,                 1.4619,                 3.0465,                  1.874,               0.009604,               0.009604,               0.009604
                     10,                 1.3823,                 3.1578,                 1.7967,                0.19334,                0.16184,                0.09239,                0.05982,                 1.4525,                 3.0061,                 1.8563,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3625,                 3.0837,                 1.7754,                0.22045,                0.17606,                0.10159,                0.06896,                 1.4413,                 2.9567,                 1.8419,               0.009505,               0.009505,               0.009505
